h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
14,9,-6.40727757548375,16.717752131255192,-19.02719817522403,1.3174185683973844e+20,6.149631878414571e+29,6.760715757806252e-22,5.851507897856596e-19,8
15,0,-14.155447806875785,-2.0750923633543277,-17.244258251150576,659879892762.0745,1.6249434435572233e+22,1.0765681144440961e-18,1.647239910068523e-17,8
15,1,-6.912398124578873,-2.445701052591758,-18.632817425454668,2.0325327683700376e+19,9.299451308178612e+28,2.3233076414136142e-20,5.133273645820623e-19,7
15,2,-6.9766286358265965,-3.1670194441648096,-18.170280408885066,1.066256918386413e+19,7.677036208063528e+28,3.720860349866041e-27,3.837996099644074e-18,9
15,3,-7.866558190004551,6.466480521895877,-18.9414103882806,2.432607852890989e+18,4.546131964533583e+28,3.802258150972781e-21,1.0690911252770765e-18,9
15,4,-10.303637548826403,-1.4253195019818439,-18.637512924324206,1.1460152486489584e+16,1.276248031951374e+26,7.576907421417161e-21,5.529932528083943e-19,8
15,5,-5.161770166465999,-0.7003938307287096,-17.575867537948874,2.1786328034279345e+20,1.1536446782393751e+29,3.486458377943518e-21,1.0964372515001808e-17,10
15,6,-5.977463627023965,0.020180452173031188,-18.810964179582545,4.454391567711949e+19,2.4032436702910702e+29,5.642744290868342e-25,9.952107550215485e-19,9
15,7,-0.5967275389424378,-4.086649202016797,-20.172692535450487,4.3508395326244e+20,2.213708873628598e+29,5.843240725889591e-28,5.46523491172086e-17,9
15,8,-5.52357425401828,-2.2804056430594146,-18.795535382028703,6.6731483152273375e+19,2.426098263570253e+29,1.7136843342249916e-21,4.2302350474878296e-19,10
15,9,-5.980575179080526,-1.995699487584485,-19.26674363269147,3.1003170746769175e+19,1.1534902933313292e+29,4.5177045600447053e-32,1.7343117901916717e-18,10
16,0,-5.928085549945598,2.2016638527619126,-18.727354240321503,5.334615913178596e+20,4.8253868642709464e+29,3.425006814142271e-26,5.959999713509291e-18,8
16,1,-3.1488128276541607,-3.432914230672221,-18.97043181603771,7.23839499481099e+20,2.305870750246763e+29,3.642331691248363e-24,1.4051166586442404e-17,10
16,2,-6.437353280442794,0.08213332681920044,-31.698118479536916,9.750142963114784e+19,2.4921099130214663e+29,1.6704870298429847e-34,2.859433791991935e-16,10
16,3,-27.807378969302153,-2.7756387017931683,-17.784902406614002,0.01409457100782713,93098242.39922653,3.655760807632096e-27,8.350504322302147e-18,10
16,4,-5.927871791659411,-1.0968277079005873,-31.8644468894317,1.1944988207578343e+19,2.590005270228984e+29,6.692893237625381e-35,2.9717007504265893e-16,11
16,5,-3.557179841572418,-3.7896775781361116,-19.712135227507755,2.2826556009018687e+20,1.1172556065557792e+29,1.6815668143434094e-27,5.946746842495509e-19,9
16,6,-6.353129095298845,-2.9385483667533006,-18.093904714924832,9.462187834045984e+19,4.720000340457729e+29,8.808456003878353e-22,3.889786117504431e-18,10
16,7,-6.635571466746907,-3.8787886853361684,-18.710366629955143,3.330104927209829e+18,1.2138037850060773e+29,3.42525833119243e-21,3.704187290781764e-19,10
16,8,-10.62505961924346,4.582377419001828,-18.684314281441658,5093610503485563.0,2.521794881272965e+25,9.313243621038398e-21,5.968400223336035e-19,10
16,9,-7.699991744311793,8.511826189439939,-17.72320022618529,2.0130839468110024e+18,7.85766521884012e+27,1.5556511301786022e-26,4.5676301792901394e-17,9
17,0,-6.070784004730613,-4.057321202462464,-27.44301450616074,3.649784421905066e+20,2.532943124213047e+29,6.79920368560767e-30,1.2253995589832694e-16,11
17,1,-4.941628572953097,-0.13940406628948798,-31.625062942931933,1.4695423284049931e+20,1.607764705386713e+29,8.542358701252927e-34,1.887399838231919e-16,12
17,2,-5.805260625912864,-3.211172048072308,-19.075509639595104,1.2532368664136512e+20,3.220717824643558e+29,7.349506476061448e-21,7.583709663814712e-19,11
17,3,-6.46020963135181,-2.5920318847483133,-28.253195280270667,4.502507990003572e+19,1.6813085776357685e+29,2.499069313074315e-31,8.334991780563044e-17,10
17,4,-6.031267215060083,0.1536618551794244,-19.07699581195211,1.560923380653832e+19,2.5934568562964646e+29,1.6031078576991372e-21,6.838108161983401e-19,12
17,5,-5.143377623657746,-4.139605875620415,-20.15196469128812,4.512605849204875e+20,3.0598710538173783e+29,5.476836398874525e-25,4.5472920182275674e-17,11
17,6,-5.515080801296477,5.68712231570988,-32.10972616541834,4.834689148779788e+19,6.05419277837459e+29,5.690704520494962e-34,9.823726207888384e-16,11
